,Hymn Number,Hymn Title,Hymn Text
10,S6," O come, let us sing unto the Lord",". O come, let us sing unto the Lord;
let us heartily rejoice in the strength of our salvation.. Let us come before his presence with thanksgiving,
and show ourselves glad in him with psalms. [Antiphon]. For the Lord is a great God,
and a great King above all gods.. In his hand are all the corners of the earth,
and the strength of the hills is his also.. The sea is his and he made it,
and his hands prepared the dry land. [Antiphon]. O come, let us worship and fall down
and kneel before the Lord our Maker.. For he is the Lord our God,
and we are the people of his pasture
and the sheep of his hand. [Antiphon]. O worship the Lord in the beauty of holiness;
let the whole earth stand in awe of him.. For he cometh, for he cometh to judge the earth,
and with righteousness to judge the world
and the peoples with his truth. [Antiphon]lory to the Father, and to the Son,
and to the Holy Spirit:
As it was in the beginning, is now,
and will be forever. Amen. [Antiphon]"
11,7," Christ, whose glory fills the skies"," Christ, whose glory fills the skies,
Christ, the true, the only Light,
Sun of Righteousness, arise!
Triumph over shades of night;
Dayspring from on high, be near;
Daystar, in my heart appear! Dark and cheerless is the morn
unaccompanied by thee;
joyless is the day’s return
till thy mercy’s beams I see,
as they inward light impart,
glad my eyes, and warm my heart. Visit then this soul of mine!
Pierce the gloom of sin and grief!
Fill me, radiancy divine;
scatter all my unbelief;
more and more thyself display,
shining to the perfect day."
12,S7," O come, let us sing unto the Lord",". O come, let us sing unto the Lord;
let us heartily rejoice in the strength of our salvation.. Let us come before his presence with thanksgiving,
and show ourselves glad in him with psalms. [Antiphon]. For the Lord is a great God,
and a great King above all gods.. In his hand are all the corners of the earth,
and the strength of the hills is his also.. The sea is his and he made it,
and his hands prepared the dry land. [Antiphon]. O come, let us worship and fall down
and kneel before the Lord our Maker.. For he is the Lord our God,
and we are the people of his pasture
and the sheep of his hand. [Antiphon]. O worship the Lord in the beauty of holiness;
let the whole earth stand in awe of him.. For he cometh, for he cometh to judge the earth,
and with righteousness to judge the world
and the peoples with his truth. [Antiphon]lory to the Father, and to the Son,
and to the Holy Spirit:
As it was in the beginning, is now,
and will be forever. Amen. [Antiphon]"
13,8, Morning has broken,
14,9, Not here for high and holy things,
15,10, New every morning is the love," New every morning is the love
our wakening and uprising prove;
through sleep and darkness safely brought,
restored to life and power and thought. New mercies, each returning day,
around us hover while we pray;
new perils past, new sins forgiven,
new thoughts of God, new hopes of heaven. If on our daily course our mind
be set to hallow all we find,
new treasures still, of countless price,
God will provide for sacrifice. Old friends, old scenes, will lovelier be,
as more of heaven in each we see;
some softening gleam of love and prayer
shall dawn on every cross and care. The trivial round, the common task,
will furnish all we ought to ask:
room to deny ourselves; a road
to bring us daily nearer God. Only, O Lord, in thy dear love,
fit us for perfect rest above;
and help us, this and every day,
to live more nearly as we pray."
16,S10," O come, let us sing unto the Lord",". O come, let us sing unto the Lord;
let us heartily rejoice in the strength of our salvation.. Let us come before his presence with thanksgiving,
and show ourselves glad in him with psalms. [Antiphon]. For the Lord is a great God,
and a great King above all gods.. In his hand are all the corners of the earth,
and the strength of the hills is his also.. The sea is his and he made it,
and his hands prepared the dry land. [Antiphon]. O come, let us worship and fall down
and kneel before the Lord our Maker.. For he is the Lord our God,
and we are the people of his pasture
and the sheep of his hand. [Antiphon]. O worship the Lord in the beauty of holiness;
let the whole earth stand in awe of him.. For he cometh, for he cometh to judge the earth,
and with righteousness to judge the world
and the peoples with his truth. [Antiphon]lory to the Father, and to the Son,
and to the Holy Spirit:
As it was in the beginning, is now,
and will be forever. Amen. [Antiphon]"
17,11," Awake, my soul, and with the sun"," Awake, my soul, and with the sun
thy daily stage of duty run;
shake off dull sloth, and joyful rise
to pay thy morning sacrifice. Lord, I my vows to thee renew;
disperse my sins as morning dew.
guard my first springs of thought and will,
and with thyself my spirit fill. Direct, control, suggest, this day,
all I design, or do, or say;
that all my powers, with all their might,
in thy sole glory may unite. Praise God, from whom all blessings flow;
praise him, all creatures here below;
praise him above, ye heavenly host:
praise Father, Son, and Holy Ghost."
18,S11, O be joyful in the Lord all ye lands,". O be joyful in the Lord all ye lands;
serve the Lord with gladness
and come before his presence with a song. [Ant.]. Be ye sure that the Lord he is God;
it is he that hath made us and not we ourselves;
we are his people and the sheep of his pasture. [Ant.]. O go your way into his gates with thanksgiving
and into his courts with praise;
be thankful unto him and speak good of his Name. [Ant.]. For the Lord is gracious;
his mercy is everlasting;
and his truth endureth from generation to generation. [Ant.]. Glory to the Father, and to the Son,
and to the Holy Spirit:
As it was in the beginning, is now, and
will be for ever. Amen. [Ant.]"
19,12, The golden sun lights up the sky,
20,13, The golden sun lights up the sky,
21,14," O God, creation's secret force",
22,15," O God, creation's secret force",
23,16, Now let us sing our praise to God,
24,17, Now let us sing our praise to God,
25,18, As now the sun shines down at noon,
26,19," Now Holy Spirit, ever One",
27,20," Now Holy Spirit, ever One",
28,21," O God of truth, O Lord of might",
29,22," O God of truth, O Lord of might",
30,23, The fleeting day is nearly gone,
31,24," The day thou gavest, Lord, is ended"," The day thou gavest, Lord, is ended,
the darkness falls at thy behest;
to thee our morning hymns ascended,
thy praise shall sanctify our rest. We thank thee that thy Church, unsleeping
while earth rolls onward into light,
through all the world her watch is keeping
and rests not now by day or night. As o’er each continent and island
the dawn leads on another day,
the voice of prayer is never silent,
nor dies the strain of praise away. So be it, Lord; thy throne shall never,
like earth’s proud empires, pass away:
thy kingdom stands, and grows forever,
till all thy creatures own thy sway."
32,S24, Let us bless the Lord,"et us bless the Lord.
Thanks be to God."
33,25," O gracious Light, Lord Jesus Christ",
34,26," O gracious Light, Lord Jesus Christ",
35,27," O blest Creator, source of light",
36,28," O blest Creator, source of light",
37,29, O Trinity of blessed light," O Trinity of blessed light,
O Unity of princely might,
the fiery sun now goes his way;
shed thou within our hearts thy ray. To thee our morning song of praise,
to thee our evening prayer we raise;
O grant us with thy saints on high
to praise thee through eternity. To God the Father, heavenly Light,
to Christ revealed in earthly night,
to God the Holy Ghost we raise
our equal and unceasing praise."
38,S29," That this evening may be holy, good, and peaceful","esponse:
That this evening may be holy, good and peaceful
We entreat thee, O Lord.hat thy holy angels may lead us in paths of peace and goodwill, [Response]hat we may be pardoned and forgiven for our sins and offenses, [Response]hat there may be peace to thy Church and to the whole world, [Response]hat we may depart this life in thy faith and fear,
and not be condemned before the great judgment seat of Christ, [Response]hat we may be bound together by thy Holy Spirit in the communion of [_________ and] all thy saints,
entrusting one another and all our life to Christ, [Response]"
39,30, O Trinity of blessed light," O Trinity of blessed light,
O Unity of princely might,
the fiery sun now goes his way;
shed thou within our hearts thy ray. To thee our morning song of praise,
to thee our evening prayer we raise;
O grant us with thy saints on high
to praise thee through eternity. To God the Father, heavenly Light,
to Christ revealed in earthly night,
to God the Holy Ghost we raise
our equal and unceasing praise."
40,S30," That this evening may be holy, good, and peaceful","esponse:
That this evening may be holy, good and peaceful
We entreat thee, O Lord.hat thy holy angels may lead us in paths of peace and goodwill, [Response]hat we may be pardoned and forgiven for our sins and offenses, [Response]hat there may be peace to thy Church and to the whole world, [Response]hat we may depart this life in thy faith and fear,
and not be condemned before the great judgment seat of Christ, [Response]hat we may be bound together by thy Holy Spirit in the communion of [_________ and] all thy saints,
entrusting one another and all our life to Christ, [Response]"
41,31," Most Holy God, the Lord of heaven",
42,32," Most Holy God, the Lord of heaven",
43,33," Christ, mighty Savior, Light of all creation",
44,34," Christ, mighty Savior, Light of all creation",
45,35," Christ, Mighty Savior, Light of all creation"," Christ, mighty Savior, Light of all creation,
you make the daytime radiant with the sunlight
and to the night give glittering adornment,
stars in the heavens. Now comes the day's end as the sun is setting:
mirror of daybreak, pledge of resurrection;
while in the heavens choirs of stars appearing
hallow the nightfall. Therefore we come now evening rites to offer,
joyfully chanting holy hymns to praise you,
with all creation joining hearts and voices
singing your glory. Give heed, we pray you, to our supplication:
that you may grant us pardon for offenses,
strength for our weak hearts, rest for aching bodies,
soothing the weary. Though bodies slumber, hearts shall keep their vigil,
forever resting in the peace of Jesus,
in light or darkness worshiping our Savior
now and for ever."
46,S35, The Invitatory: Venite,". Come let us sing to the Lord;
let us shout for joy to the Rock of our salvation.. Let us come before his presence with thanksgiving,
and raise a loud shout to him with psalms.. For the Lord is a great God,
and a great King above all gods.. In his hand are the caverns of the earth,
and the heights of the hills are his also.. The sea is his, for he made it,
and his hands have molded the dry land.. Come, let us bow down, and bend the knee,
and kneel before the Lord our Maker.. For he is our God,
and we are the people of his pasture and the sheep of his hand.
Oh, that today you would hearken to his voice!"
47,36," O gladsome Light, O grace"," O gladsome Light, O grace
of God the Father’s face,
the eternal splendor wearing;
celestial, holy, blest,
our Savior Jesus Christ,
joyful in thine appearing. Now, ere day fadeth quite,
we see the evening light,
our wonted hymn outpouring;
Father of might unknown,
thee, his incarnate Son,
and Holy Spirit adoring. To thee of right belongs
all praise of holy songs,
O Son of God, Life-giver;
thee, therefore, O Most High,
the world doth glorify,
and shall exalt forever."
48,S36," Come, let us sing to the Lord",". Come let us sing to the Lord;
let us shout for joy to the Rock of our salvation.. Let us come before his presence with thanksgiving
and raise a loud shout to him with psalms. [Antiphon]. For the Lord is a great God,
and a great King above all gods.. In his hand are the caverns of the earth,
and the heights of the hills are his also.. The sea is his, for he made it,
and his hands have molded the dry land. [Antiphon]. Come, let us bow down, and bend the knee,
and kneel before the Lord our Maker.. For he is our God,
and we are the people of his pasture and the sheep of his hand.
Oh, that today you would hearken to his voice! [Antiphon]. Harden not your hearts
as your forebears did in the wilderness,
at Meribah, and on that day at Massah, when they tempted me.. They put me to the test,
though they had seen my works. [Antiphon]0. Forty years long I detested that generation and said,
""This people are wayward in their hearts;
they do not know my ways.""1. So I swore in my wrath,
""They shall not enter into my rest."" [Antiphon]lory to the Father, and to the Son,
and to the Holy Spirit:
As it was in the beginning, is now,
and will be for ever. Amen. [Antiphon]"
49,37, O brightness of the immortal Father's face," O brightness of the immortal Father's face,
most holy, heavenly, blest,
Lord Jesus Christ, in whom his truth and grace
are visibly expressed: The sun is sinking now, and one by one
the lamps of evening shine;
we hymn the eternal Father, and the Son,
and Holy Ghost divine. Worthy art thou at all times to receive
our hallowed praises, Lord.
O Son of God, be thou, in whom we live,
through all the world adored."
50,S37," Come, let us sing to the Lord",". Come let us sing to the Lord;
let us shout for joy to the Rock of our salvation.. Let us come before his presence with thanksgiving
and raise a loud shout to him with psalms. [Antiphon]. For the Lord is a great God,
and a great King above all gods.. In his hand are the caverns of the earth,
and the heights of the hills are his also.. The sea is his, for he made it,
and his hands have molded the dry land. [Antiphon]. Come, let us bow down, and bend the knee,
and kneel before the Lord our Maker.. For he is our God,
and we are the people of his pasture and the sheep of his hand.
Oh, that today you would hearken to his voice! [Antiphon]. Harden not your hearts
as your forebears did in the wilderness,
at Meribah, and on that day at Massah, when they tempted me.. They put me to the test,
though they had seen my works. [Antiphon]0. Forty years long I detested that generation and said,
""This people are wayward in their hearts;
they do not know my ways.""1. So I swore in my wrath,
""They shall not enter into my rest."" [Antiphon]lory to the Father, and to the Son,
and to the Holy Spirit:
As it was in the beginning, is now,
and will be for ever. Amen. [Antiphon]"
51,38," Jesus, Redeemer of the world",
52,39," Jesus, Redeemer of the world",
53,40," O Christ, you are both light and day",
54,41," O Christ, you are both light and day",
55,42, Now the day is over," Now the day is over,
night is drawing nigh,
shadows of the evening
steal across the sky. Jesus, give the weary
calm and sweet repose;
with thy tenderest blessing
may our eyelids close. Grant to little children
visions bright of thee;
guard the sailors tossing
on the deep, blue sea. Comfort every sufferer
watching late in pain;
those who plan some evil
from their sin restrain. Through the long night watches
may thine angels spread
their white wings above me,
watching round my bed. When the morning wakens,
then may I arise
pure, and fresh, and sinless
in thy holy eyes."
56,S42," Be joyful in the Lord, all you lands",". Be joyful in the Lord, all you lands;
serve the Lord with gladness
and come before his presence with a song. [Ant.]. Know this: The Lord himself is God;
he himself has made us, and we are his;
we are his people and the sheep of his pasture. [Ant.]. Enter his gates with thanksgiving;
go into his courts with praise;
give thanks to him and call upon his Name. [Ant.]. For the Lord is good;
his mercy is everlasting;
and his faithfulness endures from age to age. [Ant.]lory to the Father, and to the Son,
and to the Holy Spirit;
As it was in the beginning, is now,
and will be for ever. Amen. [Ant.]"
57,43," All praise to thee, my God, this night"," All praise to thee, my God, this night,
for all the blessings of the light:
keep me, O keep me, King of kings,
beneath thine own almighty wings. Forgive me, Lord, for thy dear Son,
the ill that I this day have done;
that with the world, myself, and thee,
I, ere I sleep, at peace may be. O may my soul on thee repose,
and with sweet sleep mine eyelids close;
sleep that shall me more vigorous make
to serve my God when I awake. Praise God, from whom all blessings flow;
praise him, all creatures here below;
praise him above, ye heavenly host:
praise Father, Son, and Holy Ghost."
58,S43," Be joyful in the Lord, all you lands",". Be joyful in the Lord, all you lands;
serve the Lord with gladness
and come before his presence with a song. [Ant.]. Know this: The Lord himself is God;
he himself has made us, and we are his;
we are his people and the sheep of his pasture. [Ant.]. Enter his gates with thanksgiving;
go into his courts with praise;
give thanks to him and call upon his Name. [Ant.]. For the Lord is good;
his mercy is everlasting;
and his faithfulness endures from age to age. [Ant.]lory to the Father, and to the Son,
and to the Holy Spirit;
As it was in the beginning, is now,
and will be for ever. Amen. [Ant.]"
59,44, To you before the close of day,
60,45, To you before the close of day,
61,46, The duteous day now closeth," The duteous day now closeth,
each flower and tree reposeth,
shade creeps o'er wild and wood:
let us, as night is falling,
on God our Maker calling,
give thanks to him, the Giver good. Now all the heavenly splendor
breaks forth in starlight tender
from myriad worlds unknown;
and we, this marvel seeing,
forget our selfish being
for joy of beauty not our own. Though long our mortal blindness
has missed God's lovingkindness
and plunged us into strife;
yet when life's day is over,
shall death's fair night discover
the fields of everlasting life."
62,S46," Alleluia, Christ our Passover has been sacrificed for us",". Alleluia.
Christ our Passover has been sacrificed for us;
therefore let us keep the feast,. Not with the old leaven,
the leaven of malice and evil,
but with the unleavened bread of sincerity and truth.
Alleluia.. Christ being raised from the dead will never die again;
death no longer has dominion over him.. The death that he died, he died to sin, once for all;
but the life he lives, he lives to God.. So also consider yourselves dead to sin,
and alive to God in Jesus Christ our Lord.
Alleluia.. Christ has been raised from the dead,
the first fruits of those who have fallen asleep.. For since by a man came death,
by a man has come also the resurrection of the dead.. For as in Adam all die,
so also in Christ shall all be made alive.
Alleluia.lory to the Father, and to the Son,
and to the Holy Spirit:
As it was in the beginning, is now,
and will be for ever. Amen. Alleluia."
63,47," On this day, the first of days"," On this day, the first of days,
God the Father's Name we praise,
who, creation's Lord and spring,
did the world from darkness bring. On this day the eternal Son
over death his triumph won;
on this day the Spirit came
with his gifts of living flame. Maker, who didst fashion me
image of thyself to be,
fill me with thy love divine,
let my every thought be thine. Holy Jesus, may I be
dead and buried here with thee;
and, by love inflamed, arise
unto thee a sacrifice. Thou, who dost all gifts impart,
shine, blest Spirit, in my heart;
best of gifts, thyself bestow;
make me burn thy love to know. God, the blessed Three in One,
dwell within my heart alone;
thou dost give thyself to me:
may I give myself to thee."
64,S47, Christ our Passover has been sacrificed for us,". Alleluia, alleluia.
Alleluia, alleluia.. Christ our Passover has been sacrificed for us;
therefore let us keep the feast,. Not with the old leaven,
the leaven of malice and evil,
but with the unleavened bread
of sincerity and truth.. Alleluia, alleluia.
Alleluia, alleluia.. Christ being raised from the dead
will never die again;
death has no dominion over him.. The death that he died,
he died to sin, once for all;
but the life he lives he lives to God.. So also consider yourselves dead to sin,
and alive to God in Jesus Christ our Lord.. Alleluia, alleluia.
Alleluia, alleluia.. Christ has been raised from the dead,
the first fruits of those who have fallen asleep.0. For since by a man came death,
by a man has come also the resurrection of the dead.1. For as in Adam all die,
so also in Christ shall all be made alive.2. Alleluia, alleluia.
Alleluia, alleluia.lory to the Father, and to the Son,
and to the Holy Spirit:
As it was in the beginning, is now,
and will be for ever. Amen
Alleluia, alleluia.
Alleuia, alleluia."
65,48, O day of radiant gladness,
66,49," Come, let us with our Lord arise"," Come, let us with our Lord arise,
our Lord, who made both earth and skies,
who died to save the world he made
and rose triumphant from the dead;
he rose, the prince of life and peace,
and stamped the day for ever his. This is the day the Lord hath made
that all may see his love displayed,
may feel his resurrection's power
and rise again to fall no more,
in perfect righteousness renewed
and filled with all the life of God. Then let us render him his own,
with solemn prayer approach the throne,
with meekness hear the gospel word,
with thanks his dying love record;
our joyful hearts and voices raise
and fill his courts with songs of praise."
67,S49, Christ our Passover has been sacrificed for us,". Alleluia, alleluia.
Alleluia, alleluia.. Christ our Passover has been sacrificed for us;
therefore let us keep the feast,. Not with the old leaven,
the leaven of malice and evil,
but with the unleavened bread
of sincerity and truth.. Alleluia, alleluia.
Alleluia, alleluia.. Christ being raised from the dead
will never die again;
death has no dominion over him.. The death that he died,
he died to sin, once for all;
but the life he lives he lives to God.. So also consider yourselves dead to sin,
and alive to God in Jesus Christ our Lord.. Alleluia, alleluia.
Alleluia, alleluia.. Christ has been raised from the dead,
the first fruits of those who have fallen asleep.0. For since by a man came death,
by a man has come also the resurrection of the dead.1. For as in Adam all die,
so also in Christ shall all be made alive.2. Alleluia, alleluia.
Alleluia, alleluia.lory to the Father, and to the Son,
and to the Holy Spirit:
As it was in the beginning, is now,
and will be for ever. Amen
Alleluia, alleluia.
Alleuia, alleluia."
68,50, This is the day the Lord hath made," This is the day the Lord hath made,
he calls the hours his own;
let heaven rejoice, let earth be glad,
and praise surround the throne. Today he rose and left the dead,
and Satan's empire fell;
today the saints his triumphs spread,
and all his wonders tell. Hosanna to the anointed King,
to David's holy Son!
Make haste to help us, Lord, and bring
salvation from thy throne. Blest be the Lord, who comes to us
with messages of grace!
Who comes, in God his Father's name,
to save our sinful race. Hosanna in the highest strains
the Church on earth can raise;
the highest heavens in which he reigns
shall give him nobler praise."
69,S50, Christ our Passover has been sacrificed for us,". Alleluia, alleluia.
Alleluia, alleluia.. Christ our Passover has been sacrificed for us;
therefore let us keep the feast,. Not with the old leaven,
the leaven of malice and evil,
but with the unleavened bread
of sincerity and truth.. Alleluia, alleluia.
Alleluia, alleluia.. Christ being raised from the dead
will never die again;
death has no dominion over him.. The death that he died,
he died to sin, once for all;
but the life he lives he lives to God.. So also consider yourselves dead to sin,
and alive to God in Jesus Christ our Lord.. Alleluia, alleluia.
Alleluia, alleluia.. Christ has been raised from the dead,
the first fruits of those who have fallen asleep.0. For since by a man came death,
by a man has come also the resurrection of the dead.1. For as in Adam all die,
so also in Christ shall all be made alive.2. Alleluia, alleluia.
Alleluia, alleluia.lory to the Father, and to the Son,
and to the Holy Spirit:
As it was in the beginning, is now,
and will be for ever. Amen
Alleluia, alleluia.
Alleuia, alleluia."
70,51," We the Lord's people, heart and voice uniting",
71,52, This day at thy creating word," This day at thy creating word
first o'er the earth the light was poured:
O Lord, this day upon us shine
and fill our souls with light divine. This day the Lord for sinners slain
in might victorious rose again;
O Jesus, may we lifted be
from death of sin to life in thee! This day the Holy Spirit came
with fiery tongues of cloven flame;
O Spirit, fill our hearts this day
with grace to hear and grace to pray. All praise to God the Father be,
all praise, eternal Son, to thee,
whom, with the Spirit, we adore
for ever and for evermore."
72,S52," Show us your mercy, O Lord","how us your mercy, O Lord;
And grant us your salvation.lothe your ministers with righteousness;
Let your people sing with joy.ive peace, O Lord, in all the world;
For only in you can we live in safety.ord, keep this nation under your care;
And guide us in the way of justice and truth.et our way be known upon earth;
Your saving health among all nations.et not the needy, O Lord, be forgotten;
Nor the hope of the poor be taken away.reate in us clean hearts, O God;
And sustain us with your Holy Spirit."
73,53, Once he came in blessing," Once he came in blessing,
All our ills redressing;
came in likeness lowly,
Son of God most holy;
bore the cross to save us,
hope and freedom gave us. Still he comes within us,
still his voice would win us
from the sins that hurt us,
would to Truth convert us:
not in torment hold us,
but in love enfold us. Thus if thou canst name him,
not ashamed to claim him,
but wilt trust him boldly,
nor dost love him coldly,
he will then receive thee,
heal thee, and forgive thee. One who thus endureth
bright reward secureth.
Come then, O Lord Jesus,
from our sins release us;
let us here confess thee
till in heaven we bless thee."
74,S53," Save your people, Lord, and bless your inheritance","ave your people, Lord, and bless your inheritance;
Govern and uphold them, now and always.ay be day we bless you;
We praise your Name for ever.ord, keep us from all sin today;
Have mercy on us, Lord, have mercy.ord, show us your love and mercy;
For we put our trust in you.n you, Lord, is our hope;
And we shall never hope in vain."
75,54," Savior of the nations, come!",
76,55," Redeemer of the nations, come",
77,56," O come, O come, Emmanuel",
78,57," Lo! he comes, with clouds descending"," Lo! he comes with clouds descending,
once for our salvation slain;
thousand, thousand saints attending
swell the triumph of his train:
Alleluia! Alleluia! Alleluia!
Christ the Lord returns to reign. Every eye shall now behold him,
robed in dreadful majesty;
those who set at nought and sold him,
pierced, and nailed him to the tree,
deeply wailing, deeply wailing, deeply wailing,
shall the true Messiah see. Those dear tokens of his passion
still his dazzling body bears,
cause of endless exultation
to his ransomed worshipers;
with what rapture, with what rapture, with what rapture,
gaze we on those glorious scars! Yea, amen! let all adore thee,
high on thine eternal throne;
Savior, take the power and glory;
claim the kingdom for thine own:
Alleluia! Alleluia! Alleluia!
Thou shalt reign, and thou alone."
79,S57," Light and peace, in Jesus Christ our Lord","ight and peace, in Jesus Christ our Lord.
Thanks be to God."
80,58," Lo! he comes, with clouds descending"," Lo! he comes with clouds descending,
once for our salvation slain;
thousand, thousand saints attending
swell the triumph of his train:
Alleluia! Alleluia!
Christ the Lord returns to reign. Every eye shall now behold him,
robed in dreadful majesty;
those who set at nought and sold him,
pierced, and nailed him to the tree,
deeply wailing, deeply wailing,
shall the true Messiah see. Those dear tokens of his passion
still his dazzling body bears,
cause of endless exultation
to his ransomed worshipers;
with what rapture, with what rapture,
gaze we on those glorious scars! Yea, amen! let all adore thee,
high on thine eternal throne;
Savior, take the power and glory;
claim the kingdom for thine own:
Alleluia! Alleluia!
Thou shalt reign, and thou alone."
81,S58," O God, make speed to save us"," God, make speed to save us.
O Lord, make haste to help us.
Glory to the Father, and to the Son,
and to the Holy Spirit:
as it was in the beginning, is now,
and will be for ever. Amen.
Alleluia."
82,59, Hark! a thrilling voice is sounding," Hark! a thrilling voice is sounding.
""Christ is nigh,"" it seems to say;
""Cast away the works of darkness,
O ye children of the day."" Wakened by the solemn warning,
from earth's bondage let us rise;
Christ, our sun, all sloth dispelling,
shines upon the morning skies. Lo! the Lamb, so long expected,
comes with pardon down from heaven;
let us haste, with tears of sorrow,
one and all to be forgiven; so when next he comes with glory,
and the world is wrapped in fear,
may he with his mercy shield us,
and with words of love draw near. Honor, glory, might, and blessing
to the Father and the Son,
with the everlasting Spirit,
while unending ages run."
83,S59, O gracious Light,". O gracious Light,
pure brightness of the everliving Father in heaven,
O Jesus Christ, holy and blessed!. Now as we come to the setting of the sun,
and our eyes behold the vesper light,
we sing your praises, O God:
Father, Son, and Holy Spirit.. You are worthy at all times
to be praised by happy voices,
O Son of God, O Giver of life,
and to be glorified through all the worlds."
84,60, Creator of the stars of night,
85,61," ""Sleepers, wake!"" A voice astounds us",
86,62," ""Sleepers, wake!"" A voice astounds us",
87,63," O heavenly Word, eternal Light",
88,64," O heavenly Word, eternal Light",
89,65," Prepare the way, O Zion",
