,Hymn Number,Hymn Title,Hymn Text
10,11,"11. Source and Sovereign, Rock and Cloud",
11,12," Immortal, Invisible, God Only Wise"," Immortal, invisible, God only wise,
in light inaccessible hid from our eyes,
most blessed, most glorious, the Ancient of Days,
almighty, victorious, thy great name we praise. Unresting, unhasting, and silent as light,
nor wanting, nor wasting, thou rulest in might:
thy justice, like mountains high soaring above;
thy clouds, which are fountains of goodness and love. To all, life thou givest, to both great and small.
In all life thou livest, the true life of all.
We blossom and flourish like leaves on the tree,
then wither and perish; but naught changeth thee. Thou reignest in glory; thou dwellest in light.
Thine angels adore thee, all veiling their sight.
All praise we would render; O help us to see
'tis only the splendor of light hideth thee!"
12,13,13. The Mighty God with Power Speaks (Psalm 50),
13,14, For the Beauty of the Earth," For the beauty of the earth,
for the glory of the skies,
for the love which from our birth
over and around us lies:efrain:
Lord of all, to thee we raise
this our hymn of grateful praise. For the wonder of each hour
of the day and of the night,
hill and vale, and tree and flower,
sun and moon, and stars of light: [Refrain] For the joy of ear and eye,
for the heart and mind’s delight,
for the mystic harmony
linking sense to sound and sight: [Refrain] For the joy of human love,
brother, sister, parent, child,
friends on earth, and friends above,
for all gentle thoughts and mild: [Refrain] For thyself, best gift divine
to the world so freely given;
for that great, great love of thine,
peace on earth and joy in heaven: [Refrain]"
14,15, All Creatures of Our God and King," All creatures of our God and King,
lift up your voice and with us sing,
Alleluia! Alleluia!
O brother sun with golden beam,
O sister moon with silver gleam,
sing praises! Alleluia!
Alleluia! Alleluia! Alleluia! O brother wind with clouds and rain,
you nurture gifts of fruit and grain.
Alleluia! Alleluia!
O sister water, flowing clear,
make music for your Lord to hear.
Sing praises! Alleluia!
Alleluia! Alleluia! Alleluia! O brother fire, so warm and bright,
chase off the shadows of the night.
Alleluia! Alleluia!
Dear mother earth, who day by day
unfolds such blessings on our way,
sing praises! Alleluia!
Alleluia! Alleluia! Alleluia! All who for love of God forgive,
all who in pain or sorrow grieve,
Alleluia! Alleluia!
Christ bears your burdens and your fears;
so, even in the midst of tears,
sing praises! Alleluia!
Alleluia! Alleluia! Alleluia! And you, most gentle sister death,
waiting to hush our final breath:
Alleluia! Alleluia!
Since Christ our light has pierced your gloom,
fair is the night that leads us home.
Sing praises! Alleluia!
Alleluia! Alleluia! Alleluia! O sisters, brothers, take your part,
and worship God with humble heart.
Alleluia! Alleluia!
All creatures, bless the Father, Son,
and Holy Spirit, Three in One!
Sing praises! Alleluia!"
15,16,16. O That I Had a Thousand Voices,
16,17,"17. Sing Praise to God, You Heavens! (Psalm 148)",
17,18,18. Hallelujah! Sing Praise to Your Creator,
18,19,19. God of Great and God of Small,
19,20, All Things Bright and Beautiful,"efrain:
All things bright and beautiful,
all creatures great and small,
all things wise and wonderful,
the Lord God made them all. Each little flower that opens,
each little bird that sings,
God made their glowing colors;
God made their tiny wings. [Refrain] The purple-headed mountain,
the river running by,
the sunset, and the morning
that brightens up the sky: [Refrain] The cold wind in the winter,
the pleasant summer sun,
the ripe fruits in the garden,
God made them every one. [Refrain] God gave us eyes to see them,
and lips that we might tell
how great is God Almighty,
who has made all things well. [Refrain]"
20,21," Many and Great, O God, Are Thy Works"," Many and great, O God, are thy works,
Maker of earth and sky.
Thy hands have set the heavens with stars;
thy fingers spread the mountains and plains.
Lo, at thy word the waters were formed.
Deep seas obey thy voice. Grant unto us communion with thee,
thou star-abiding One.
Come unto us and dwell with us.
With thee are found the gifts of life.
Bless us with life that has no end,
eternal life with thee."
21,22,22. God of the Sparrow,
22,23,"23. God, You Spin the Whirling Planets",
23,24,"24. God, Who Stretched the Spangled Heavens",
24,25,"25. O Lord, Our God, How Excellent (Psalm 8)",
25,26,26. Earth and All Stars!,
26,27,27. Sacred the Body,
27,28,"28. You Are Before Me, Lord (Psalm 139)",
28,29,"29. O God, You Search Me (Psalm 139)",
29,30," O God, in a Mysterious Way"," O God, in a mysterious way
great wonders you perform.
You plant your footsteps in the sea
and ride upon the storm. Deep in unfathomable mines
of never-failing skill,
you treasure up your bright designs
and work your sovereign will. O fearful saints, fresh courage take.
The clouds you so much dread
are big with mercy and shall break
in blessings on your head. Our unbelief is sure to err
and scan your work in vain.
You are your own interpreter,
and you will make it plain."
30,31, Let Us with a Gladsome Mind (Psalm 136)," Let us with a gladsome mind
praise the Lord who is so kind:
for God's mercies shall endure,
ever faithful, ever sure. God, with all-commanding might,
filled the new-made world with light:
for God's mercies shall endure,
ever faithful, ever sure. All things living God does feed;
with full measure, meets their need:
for God's mercies shall endure,
ever faithful, ever sure. Let us with a gladsome mind
praise the Lord who is so kind:
for God's mercies shall endure,
ever faithful, ever sure."
31,32, I Sing the Mighty Power of God," I sing the mighty power of God
that made the mountains rise,
that spread the flowing seas abroad
and built the lofty skies.
I sing the wisdom that ordained
the sun to rule the day.
The moon shines full at God's command,
and all the stars obey. I sing the goodness of the Lord
who filled the earth with food.
God formed the creatures through the Word,
and then pronounced them good.
Lord, how thy wonders are displayed,
where'er I turn my eye,
if I survey the ground I tread,
or gaze upon the sky! There's not a plant or flower below
but makes thy glories known.
And clouds arise, and tempests blow,
by order from thy throne,
while all that borrows life from thee
is ever in thy care,
and everywhere that we can be,
thou, God, art present there."
32,33, Praise the Lord! God's Glories Show (Psalm 150)," Praise the Lord! God’s glories show, Alleluia!
saints within God's courts below, Alleluia!
angels round the throne above, Alleluia!
all who see and share God's love. Alleluia! Earth to heaven exalt the strain, Alleluia!
Send it, heaven, to earth again, Alleluia!
Age to age, God’s mercies trace, Alleluia!
Praise God’s providence and grace! Alleluia! Strings and voices, hands and hearts, Alleluia!
in the concert, bear your parts, Alleluia!
All that breathes, your Lord adore, Alleluia!
singing praise forevermore, Alleluia!"
33,34,"34. Bless the Lord, My Soul and Being! (Psalm 104)",
34,35," Praise Ye the Lord, the Almighty"," Praise ye the Lord, the Almighty, the King of creation!
O my soul, praise him, for he is thy health and salvation!
All ye who hear,
now to his temple draw near;
join me in glad adoration! Praise ye the Lord, who o'er all things so wondrously reigneth,
shelters thee under his wings, yea, so gently sustaineth!
Hast thou not seen
how thy desires e'er have been
granted in what he ordaineth? Praise ye the Lord! O let all that is in me adore him!
All that hath life and breath, come now with praises before him!
Let the amen
sound from his people again;
gladly for aye we adore him."
35,36, For the Fruit of All Creation," For the fruit of all creation,
thanks be to God.
For the gifts to every nation,
thanks be to God.
For the plowing, sowing, reaping,
silent growth while we are sleeping,
future needs in earth's safekeeping,
thanks be to God. In the just reward of labor,
God's will be done.
In the help we give our neighbor,
God's will be done.
In our worldwide task of caring
for the hungry and despairing,
in the harvests we are sharing,
God's will be done. For the harvests of the Spirit,
thanks be to God.
For the good we all inherit,
thanks be to God.
For the wonders that astound us,
for the truths that still confound us,
most of all that love has found us,
thanks be to God."
36,37,37. Let All Things Now Living,
37,38, To Bless the Earth (Psalm 65)," To bless the earth God sends us
from heaven's abundant store
the waters of the springtime,
enriching it once more. The seed by God provided
is sown o'er hill and plain,
and then come gentle showers
to bless the springing grain. God crowns the year with goodness;
the earth God's mercy fills;
the wilderness is fruitful,
and joyful are the hills. With grain the fields are covered;
the flocks in pastures graze;
all nature joins in singing
a joyful song of praise."
38,39, Great Is Thy Faithfulness," Great is thy faithfulness, O God my Father;
there is no shadow of turning with thee.
Thou changest not; thy compassions they fail not.
As thou hast been thou forever wilt be.efrain:
Great is thy faithfulness!
Great is thy faithfulness!
Morning by morning, new mercies I see.
All I have needed thy hand hath provided.
Great is thy faithfulness, Lord unto me! Summer and winter, and springtime and harvest,
sun, moon, and stars in their courses above
join with all nature in manifold witness
to thy great faithfulness, mercy, and love. [Refrain] Pardon for sin and a peace that endureth,
thine own dear presence to cheer and to guide,
strength for today and bright hope for tomorrow:
blessings all mine, with ten thousand beside! [Refrain]OREAN Refrain:
오신실하신주
오신실하신주
날마다자비를베푸시며
일용할모든것내려주시니
오신실하신주 나의구주"
39,40,40. God's Word Is Upright (La palabra del Señor) (Psalm 33),
40,41," O Worship the King, All Glorious Above!"," O worship the King, all glorious above!
O gratefully sing God's power and God’s love:
our shield and defender, the Ancient of Days,
pavilioned in splendor and girded with praise. O tell of God's might; O sing of God's grace,
whose robe is the light, whose canopy space,
whose chariots of wrath the deep thunderclouds form;
and bright is God's path on the wings of the storm. The earth with its store of wonders untold,
Almighty, your power has founded of old;
established it fast by a changeless decree,
and round it has cast, like a mantle, the sea. Your bountiful care what tongue can recite?
It breathes in the air; it shines in the light;
it streams from the hills; it descends to the plain,
and sweetly distills in the dew and the rain. Frail children of dust, and feeble as frail,
in you do we trust, nor find you to fail;
your mercies, how tender, how firm to the end,
our Maker, Defender, Redeemer, and Friend."
41,42,"42. Your Faithfulness, O Lord, Is Sure (Psalm 145)",
42,43,43. You Who Dwell in the Shelter of the Lord (On Eagle's Wings) (Psalm 91),
43,44,44. Like a Mother Who Has Borne Us,
44,45, I to the Hills Will Lift My Eyes (Psalm 121)," I to the hills will lift my eyes;
from whence shall come my aid?
My help is from the Lord alone,
who heaven and earth has made. God will not let your foot be moved;
your guardian never sleeps;
God's watchful and unslumbering care
protects and safely keeps. Your faithful keeper is the Lord,
your shelter and your shade.
'Neath sun or moon, by day or night,
you shall not be afraid. From evil God will keep you safe,
provide for all you need.
Your going out, your coming in,
God will forever lead."
45,46, Unless the Lord the House Shall Build (Psalm 127)," Unless the Lord the house shall build,
the weary builders toil in vain;
unless the Lord the city shield,
the guards a useless watch maintain. In vain you rise at morning break,
and late your nightly vigils keep,
and weary days of toil partake;
for God's beloved there is sleep. Like arrows in full quivers stored
are children given in days of youth;
for children are a great reward,
a gift from God in very truth."
46,47, Bless All Who Trust in God (Psalm 128)," Bless all who trust in God
and walk within God’s ways;
bless every soul whose happiness
springs from the Lord’s own praise! Let families be strong
and sparkle bright as wine;
let partners and let children thrive
and flourish like the vine! And since we may not boast
such joys are ours by right,
teach us, good Lord, to take your gifts
with thanks and with delight."
47,48,48. Rain Down,
48,49, The God of Abraham Praise," The God of Abraham praise,
who reigns enthroned above,
the Ancient of Eternal Days,
the God of love!
The Lord, the great I AM,
by earth and heaven confessed,
we bow before your holy name,
forever blest. Your spirit still flows free,
high surging where it will.
In prophet's word you spoke of old
and you speak still.
Established is your law,
and changeless it shall stand,
deep writ upon the human heart
by your strong hand. Your goodly land we seek,
with peace and plenty blest,
a land of sacred liberty
and Sabbath rest.
There milk and honey flow,
and oil and wine abound,
and trees of life forever grow
with mercy crowned. You have eternal life
implanted in the soul;
your love shall be our strength and stay,
while ages roll.
We praise you, living God!
We praise your holy name:
the first, the last, beyond all thought,
and still the same!"
49,50, Deep in the Shadows of the Past," Deep in the shadows of the past,
far out from settled lands,
some nomads traveled with their God
across the desert sands.
The dawning hope of humankind
by them was sensed and shown:
a promise calling them ahead,
a future yet unknown. While others bowed to changeless gods,
they met a mystery,
invisible, without a name:
""I AM WHAT I WILL BE"";
and by their tents, around their fires
in story, song, and law,
they praised, remembered, handed on
a past that promised more. From Exodus to Pentecost
the promise changed and grew,
while some, remembering the past,
recorded what they knew,
or with their letters and laments,
their prophecy and praise,
recovered, kindled, and expressed
new hope for changing days. For all the writings that survived,
for leaders, long ago,
who sifted, copied, and preserved
the Bible that we know,
give thanks, and find its story yet
our promise, strength, and call,
the model of emerging faith,
alive with hope for all."
50,51,51. To Abraham and Sarah (I Will Be Your God),
51,52, When Israel Was in Egypt's Land," When Israel was in Egypt's land,
let my people go;
oppressed so hard they could not stand,
let my people go!efrain:
Go down, Moses,
way down in Egypt's land;
tell old Pharaoh:
let my people go! ""Thus saith the Lord,"" bold Moses said,
""Let my people go!
If not, I'll smite your firstborn dead.
Let my people go!"" [Refrain] ""No more shall they in bondage toil:
let my people go!
Let them come out with Egypt's spoil:
let my people go!"" [Refrain] O let us all from bondage flee;
let my people go!
And let us all in Christ be free:
let my people go! [Refrain]"
52,53," O God, Who Gives Us Life"," O God, who gives us life and breath,
who shapes us in the womb,
who guards our lives from birth to death,
then leads us from the tomb:
deliver us from fears that kill
the life we have from you.
Help us to know your Spirit still
is making all things new. O God, who calls your people out
to venture and to dare,
to plumb the bleak abyss of doubt
and find you even there:
when we despair in wandering
through wastes of empty lies,
refresh us with the living spring
of hope that never dies. O God of covenant and law,
revealed in cloud and flame,
your mighty deeds evoke our awe;
we dare not speak your name.
Yet we by faith are drawn to you
and will your people prove,
as on our hearts you write anew
the covenant of love."
53,54,54. Make a Joyful Noise to God!,
54,55,"55. Come like Driving Wind, O God (Psalm 68)",
55,56,56. Sing Out with Joy to God Our Strength (Psalm 81),
56,57,"57. Tremble, O Tremble (Psalm 99)",
57,58, When Israel Was Going Forth (Psalm 114)," When Israel was going forth
from out of Egypt’s land,
and Jacob’s house from foreign tongues
they could not understand, to be God’s holy dwelling place,
God’s choice on Judah fell,
and there as God’s dominion took
God’s chosen Israel. The sea beheld and fled away;
the Jordan stopped its flow.
The mountains skipped like rams; the hills
like lambs skipped to and fro. O sea, why did you run away?
O Jordan, why turn tide?
You mounts and hills, like rams and lambs,
why leap on every side? O tremble, earth, before the Lord;
the God of Jacob fear;
God made the rock a water pool,
the stone a fountain clear."
58,59,59. The Steadfast Love of the Lord (Psalm 105),
59,60,"60. Your Endless Love, Your Mighty Acts (Psalm 106)",
60,61,"61. Your Law, O Lord, Is Perfect (Psalm 19)",
61,62,62. Love the Lord Your God,
62,63,63. The Lord Is God,
63,64,64. I Long for Your Commandments (Psalm 119),
64,65," Guide Me, O Thou Great Jehovah"," Guide me, O thou great Jehovah,
pilgrim through this barren land.
I am weak, but thou art mighty.
Hold me with thy powerful hand.
Bread of heaven, bread of heaven,
feed me till I want no more;
feed me till I want no more. Open now the crystal fountain,
whence the healing stream doth flow.
Let the fire and cloudy pillar
lead me all my journey through.
Strong deliverer, strong deliverer,
be thou still my strength and shield;
be thou still my strength and shield. When I tread the verge of Jordan,
bid my anxious fears subside.
Death of death, and hell's destruction,
land me safe on Canaan's side.
Songs of praises, songs of praises
I will ever give to thee;
I will ever give to thee."
65,66, Every Time I Feel the Spirit,"efrain:
Every time I feel the Spirit
moving in my heart I will pray.
Yes, every time I feel the Spirit
moving in my heart I will pray. Upon the mountain, when my Lord spoke,
out of God's mouth came fire and smoke.
Looked all around me, it looked so fine,
till I asked my Lord if all was mine. [Refrain] Jordan River, chilly and cold,
it chills the body but not the soul.
There is but one train upon this track.
It runs to heaven and then right back. [Refrain]"
66,67, My Song Forever Shall Record (Psalm 89)," My song forever shall record
the tender mercies of the Lord;
your faithful love will I proclaim,
and every age shall know your name. I sing of mercies that endure,
forever firm, forever sure,
a strong support that never dies,
established changeless in the skies. Almighty God, your lofty throne
has justice for its cornerstone,
and shining bright before your face
are truth and love and boundless grace. With blessing is the nation crowned
whose people know the joyful sound;
they in the light, O Lord, shall live,
the light your face and favor give."
67,68,"68. Heaven Opened to Isaiah (Holy, Holy, You Are Holy)",
68,69,"69. I, the Lord of Sea and Sky (Here I Am, Lord)",
69,70,70. What Does the Lord Require of You?,
70,71,"71. Surely, It Is God Who Saves Me",
71,72,72. By the Babylonian Rivers (Psalm 137),
72,73, When God Delivered Israel (Psalm 126),"o view this media, please accept the license agreement:n order to use resources from the Hope Publishing Company, you must reside in the United States or Canada. Hope Publishing Company owns or administers the contents in these territories.
You may download one copy of this selection for your own personal use. To make any further copies or to perform the work you must get permission from Hope Publishing Company or belong to and report the copying activity to CCLI, LicenSing or OneLicense.net. By selecting ""I Agree"" you are verifying that you reside in the U.S. or Canada and will only legally use this selection."
73,74,74. When God Restored Our Common Life (Psalm 126),
74,75,75. We Give Thanks unto You (Your Love Is Never Ending) (Psalm 136),
75,76,76. Do Not Be Afraid,
76,77, Isaiah the Prophet Has Written of Old," Isaiah the prophet has written of old
how God’s new creation shall come.
Instead of the thorn tree, the fir tree shall grow;
the wolf shall lie down with the lamb.
The mountains and hills shall burst forth into song,
the peoples be led forth in peace,
for the earth shall be filled with the knowledge of God
as the waters cover the sea. Yet nations still prey on the meek of the world,
and conflict turns parent from child.
Your people despoil all the sweetness of earth;
the briar and the thorn tree grow wild.
God, bring to fruition your will for the earth,
that no one shall hurt or destroy,
that wisdom and justice shall reign in the land
and your people shall go forth in joy."
77,78,"78. You Thirsty Ones, Come",
78,79,79. Light Dawns on a Weary World,
79,80,80. You Shall Go Out with Joy (The Trees of the Field),
80,81, Glorious Things of Thee Are Spoken," Glorious things of thee are spoken,
Zion, city of our God.
God, whose word cannot be broken,
formed thee for a blest abode.
On the rock of ages founded,
what can shake thy sure repose?
With salvation's walls surrounded,
thou may'st smile at all thy foes. Round each habitation hovering,
see the cloud and fire appear
for a glory and a covering,
showing that the Lord is near.
Thus deriving from their banner
light by night and shade by day,
safe they feed upon the manna
which God gives them when they pray. See, the streams of living waters,
springing from eternal love,
well supply thy sons and daughters
and all fear of want remove.
Who can faint while such a river
ever flows, their thirst to assuage?
Grace, so like the Lord the giver,
never fails from age to age."
81,82," Come, Thou Long-Expected Jesus"," Come, thou long-expected Jesus,
born to set thy people free;
from our fears and sins release us;
let us find our rest in thee.srael’s strength and consolation,
hope of all the earth thou art;
dear desire of every nation,
joy of every longing heart. Born thy people to deliver,
born a child and yet a king,
born to reign in us forever,
now thy gracious kingdom bring.y thine own eternal Spirit
rule in all our hearts alone;
by thine all-sufficient merit
raise us to thy glorious throne."
82,83," Come, Thou Long-Expected Jesus"," Come, thou long-expected Jesus,
born to set thy people free;
from our fears and sins release us;
let us find our rest in thee. Israel’s strength and consolation,
hope of all the earth thou art;
dear desire of every nation,
joy of every longing heart. Born thy people to deliver,
born a child and yet a king,
born to reign in us forever,
now thy gracious kingdom bring. By thine own eternal Spirit
rule in all our hearts alone;
by thine all-sufficient merit
raise us to thy glorious throne."
83,84,84. Creator of the Stars of Night,
84,85,85. Light One Candle to Watch for Messiah,
85,86,86. The People Who Walked in Darkness,
86,87," Comfort, Comfort Now My People"," “Comfort, comfort now my people;
tell of peace!” So says our God.
“Comfort those who sit in darkness
mourning under sorrow’s load.
To my people now proclaim
that my pardon waits for them!
Tell them that their sins I cover,
and their warfare now is over.” For the herald’s voice is crying
in the desert far and near,
calling us to true repentance,
since the reign of God is here.
O, that warning cry obey!
Now prepare for God a way.
Let the valleys rise in meeting
and the hills bow down in greeting. Straight shall be what long was crooked,
and the rougher places plain.
Let your hearts be true and humble,
as befits God’s holy reign.
For the glory of the Lord
now on earth is shed abroad,
and all flesh shall see the token
that God’s word is never broken."
87,88," O Come, O Come, Emmanuel"," O come, O come, Emmanuel,
and ransom captive Israel,
that mourns in lonely exile here
until the Son of God appear.efrain:
Rejoice! Rejoice! Emmanuel
shall come to thee, O Israel. O come, thou Wisdom from on high,
who orderest all things mightily:
to us the path of knowledge show;
and teach us in her ways to go. [Refrain] O come, O come, thou Lord of might,
who to thy tribes on Sinai’s height
in ancient times didst give the law
in cloud and majesty and awe. [Refrain] O come, thou Root of Jesse, free
thine own from Satan’s tyranny;
from depths of hell thy people save
and give them victory o’er the grave. [Refrain] O come, thou Key of David, come,
and open wide our heavenly home;
make safe the way that leads on high,
and close the path to misery. [Refrain] O come, thou Dayspring, come and cheer
our spirits by thine advent here;
disperse the gloomy clouds of night,
and death’s dark shadows put to flight. [Refrain] O come, Desire of nations, bind
all peoples in one heart and mind;
bid envy, strife, and discord cease;
fill the whole world with heaven’s peace. [Refrain]"
88,89,"89. For You, O Lord, My Soul in Stillness Waits (My Soul in Stillness Waits)",
89,90,90. Wait for the Lord (Psalm 27),
90,91,"91. Come, Come Emmanuel",
91,92,"92. While We Are Waiting, Come",
92,93," Lift Up Your Heads, Ye Mighty Gates"," Lift up your heads, ye mighty gates;
behold the King of glory waits;
the King of kings is drawing near;
the Savior of the world is here. Fling wide the portals of your heart;
make it a temple, set apart
from earthly use for heaven’s employ,
adorned with prayer and love and joy. Redeemer, come! I open wide
my heart to thee; here, Lord, abide.
Let me thy inner presence feel;
thy grace and love in me reveal."
93,94,94. Now the Heavens Start to Whisper,
94,95,95. Prepare the Way of the Lord,
95,96, On Jordan's Bank the Baptist's Cry," On Jordan’s bank the Baptist’s cry
announces that the Lord is nigh;
awake and hearken, for he brings
glad tidings of the King of kings! Then cleansed be every life from sin;
make straight the way for God within,
and let us all our hearts prepare
for Christ to come and enter there. We hail you as our Savior, Lord,
our refuge and our great reward;
without your grace we waste away
like flowers that wither and decay. Stretch forth your hand; our health restore,
and make us rise to fall no more.
O let your face upon us shine
and fill the world with love divine."
96,97," Watchman, Tell Us of the Night"," Watchman, tell us of the night,
what its signs of promise are.
Traveler, what a wondrous sight:
see that glory-beaming star.
Watchman, does its beauteous ray
news of joy or hope foretell?
Traveler, yes; it brings the day,
promised day of Israel. Watchman, tell us of the night;
higher yet that star ascends.
Traveler, blessedness and light,
peace and truth its course portends.
Watchman, will its beams alone
gild the spot that gave them birth?
Traveler, ages are its own;
see, it bursts o’er all the earth. Watchman, tell us of the night,
for the morning seems to dawn.
Traveler, shadows take their flight;
doubt and terror are withdrawn.
Watchman, you may go your way;
hasten to your quiet home.
Traveler, we rejoice today,
for Emmanuel has come!"
97,98, To a Maid Whose Name Was Mary,"o view this media, please accept the license agreement:n order to use resources from the Hope Publishing Company, you must reside in the United States or Canada. Hope Publishing Company owns or administers the contents in these territories.
You may download one copy of this selection for your own personal use. To make any further copies or to perform the work you must get permission from Hope Publishing Company or belong to and report the copying activity to CCLI, LicenSing or OneLicense.net. By selecting ""I Agree"" you are verifying that you reside in the U.S. or Canada and will only legally use this selection."
98,99,99. My Soul Gives Glory to My God (Song of Mary),
99,100,100. My Soul Cries Out with a Joyful Shout (Canticle of the Turning),
100,101,101. No Wind at the Window,
101,102,"102. Savior of the Nations, Come",
102,103,"103. Come Now, O Prince of Peace (오소서)",
103,104," O Lord, How Shall I Meet You"," O Lord, how shall I meet you,
how welcome you aright?
Your people long to greet you,
my hope, my heart’s delight!
O kindle, Lord most holy,
a lamp within my breast,
to do in spirit lowly
all that may please you best. Love caused your incarnation;
love brought you down to me;
your thirst for my salvation
procured my liberty.
O love beyond all telling,
that led you to embrace
in love, all loves excelling,
our lost and fallen race. You come, O Lord, with gladness,
in mercy and goodwill,
to bring an end to sadness
and bid our fears be still.
In patient expectation
we live for that great day
when your renewed creation
your glory shall display."
104,105,"105. People, Look East",
105,106," Prepare the Way, O Zion"," Prepare the way, O Zion,
your Christ is drawing near!
Let every hill and valley
a level way appear.
Greet One who comes in glory,
foretold in sacred story.efrain:
O blest is Christ who came
in God’s most holy name. He brings God’s rule, O Zion;
he comes from heaven above.
His rule is peace and freedom,
and justice, truth, and love.
Lift high your praise resounding,
for grace and joy abounding. [Refrain] Fling wide your gates, O Zion;
your Savior’s rule embrace,
and tidings of salvation
proclaim in every place.
All lands will bow rejoicing,
their adoration voicing. [Refrain]"
106,107,"107. Awake! Awake, and Greet the New Morn",
107,108, Of the Father’s Love Begotten," Of the Father's love begotten,
ere the worlds began to be,
he is Alpha and Omega;
he the source, the ending he,
of the things that are, that have been,
and that future years shall see,
evermore and evermore! By his Word was all created;
he commanded; it was done:
heaven and earth and depths of ocean,
universe of three in one,
all that sees the moon’s soft shining,
all that breathes beneath the sun,
evermore and evermore! O, that birth forever blessed
when the Virgin, full of grace,
by the Holy Ghost conceiving,
bore the Savior of our race,
and the babe, the world’s Redeemer,
first revealed his sacred face,
evermore and evermore! This is he whom seers in old time
chanted of with one accord,
whom the voices of the prophets
promised in their faithful word.
Now he shines, the long-expected.
Let creation praise its Lord,
evermore and evermore! O ye heights of heaven, adore him.
Angel hosts, his praises sing.
Powers, dominions, bow before him,
and extol our God and King.
Let no tongue on earth be silent;
every voice in concert ring,
evermore and evermore! Christ, to thee with God the Father,
and, O Holy Ghost, to thee,
hymn and chant and high thanksgiving
and unwearied praises be.
Honor, glory, and dominion,
and eternal victory,
evermore and evermore! Amen."
108,109, Blest Be the God of Israel (Song of Zechariah)," Blest be the God of Israel,
who comes to set us free;
who visits and redeems us,
who grants us liberty.
The prophets spoke of mercy,
of freedom and release;
God shall fulfill that promise
and bring the people peace. God from the house of David
a child of grace has given;
a Savior comes among us
to raise us up to heaven.
Before him goes the herald,
forerunner in the way,
the prophet of salvation,
the harbinger of day. On those who sit in darkness
the sun begins to rise,
the dawning of forgiveness
upon the sinner’s eyes.
God guides the feet of pilgrims
along the paths of peace.
O bless our God and Savior
with songs that never cease!"
109,110,110. Love Has Come,
110,111,111. From Heaven Above,
